O : à ASCO:t (dit avec dérision) (RIRE) <P1,L1> 
Y : t’aurais dû la voir sucer le glaçon l’autre jour <P16,L18> 
O : [ 1 (RIRE) [ 2 (RIRE) <P16,L19> 
S : [ 1 (RIRE) <P16,L20> 
Y : [ 2 crisse euh <P16,L21> 
S : où ça <P17,L1> 
Y : hein/ <P17,L2> 
S : où ça <P17,L3> 
Y : ben: j’ai vu ça à la tv là (en pointant son menton vers la droite comme pour désigner l’emplacement de la télévision dont il parle) <P17,L4> 
S : [ 1 ah ouais (dit en riant) <P17,L5> 
O : [ 1 ah ouais [ 2 ouais (dit en riant) <P17,L6> 
Y : [ 2 dans un film (dit en riant) <P17,L7> 
S : [ 2 un film [ 3 (inaud.) <P17,L8> 
Y : [ 3 dans un film (dit en riant) <P17,L9> 
O : [ 3 il était onze heures minuit là <P17,L10> 
Y : ouin on était chez vous justement (dit en riant et en pointant Oscar du doigt) [ 1 (RIRE) <P17,L11> 
O : [ 1 <f<ah ouin>> moi je dormais ostie <P17,L12> 
Y : c’est le film que t’avais enregistré là <P17,L13> 
O : ah ouais crisse (en haussant les sourcils comme pour exprimer sa surprise) <P17,L14> 
S : la fée des (inaud.) <P17,L15> 
O : vous avez trouvé mes [ 1 casSETTES <P17,L16> 
Y : [ 1 (RIRE) <P17,L17> 
S : ils ont fait un film avec euh des: (.) des personnages <P17,L18> 
Y : ouin (.) Gollum pis tout ça <P17,L19> 
S : (RIRE) [ 1 Seigneur des anus (comme pour faire référence au film Le Seigneur des anneaux) <P17,L20> 
Y : [ 1 {qu’est-ce que c’est que t’as (inaud.);checke-toi (inaud.)} (dit en riant et en levant le menton comme pour se moquer de Sylvain) <P17,L21> 
Y : ouin Seigneur des anneaux (dit en riant) [ 1 (RIRE) <P18,L1> 
O : [ 1 (RIRE) <P18,L2> 
S : Aliche au pays des merveilles (dit comme pour faire un jeu de mots en référence à Alice aux pays des merveilles) (0:00:27.6) <P18,L3> 
Y : (RIRE) <P18,L4> 
O : crisse l’autre coup ils sont venus chez nous moi j’avais pas dormi de la journée mon gars (.) [ 1 j’avais de l’air fou en crif (.) j’étais [ 2 sur le divan pis euh <P18,L5> 
Y : [ 1 (inaud.) <P18,L6> 
Y : [ 2 <pp<c’est ça>> <P18,L7> 
Y : ouin mais là c’était normal t’sais d- (en hochant la tête affirmativement) [ 1 <f<t’as d- t’as dit avant qu’on a- avant que j’arrive tout ça tu dis t’étais assis pis là:>>\ (en se reculant comme pour mimer que la personne dont il parle s’assoit) quand qu’il a su qu’on venait •j’ai repogné un up° (en se redressant à quelques reprises comme pour représenter un regain d’énergie) mais là à (en hochant la tête négativement) (.) à un moment donné [ 2 tu dors pas ça fait euh une couple d’heures ouais (.) [ 3 tu restes assis dans un divan man euh: <P18,L8> 
O : [ 1AH ouais <P18,L9> 
O : [ 2 on était assis en train de boire de la bière <P18,L10> 
S : [ 3 tu fais du café ostie (en fermant son poing et en pinçant les lèvres comme pour représenter l’impact du café sur le système) <P18,L11> 
O : AH oublie ça (.) [ 1 tombé <P18,L12> 
Y : [ 1 il aurait fallu que tu boives du café ostie [ 2 (inaud.) <P18,L13> 
O : [ 2 il aurait fall- <f<ben rester [ 3 debout ça aurait paru>> [ 4 pis <P18,L14> 
S : [ 3AH (dit après avoir vidé le fond de sa bière) <P18,L15> 
Y : [ 4 ouin (en hochant la tête affirmativement) ouin mais {nous on est de [ 5même;(inaud.) un moment donné} ça donne [ 6 rien de combattre euh <P18,L16> 
S : [ 5OUIP/ (en prenant un nouvelle bouteille de bière par terre) <P18,L17> 
O : [ 6 ah ouais <P19,L1> 
S : nouvelle bouteille (en présentant une bouteille de bière à la caméra) <P19,L2> 
Y : de combattre le sommeil (0:01:01.1) <P19,L3> 
O : mais le PIRE là [ 1 c’est que le lendemain soir j’étais deux fois plus brûlé (en hochant la tête négativement) <P19,L4> 
Y : [ 1 (RIRE) (en regardant Sylvain décapsuler sa bouteille de bière) <P19,L5> 
S : [ 1 (RIRE) <P19,L6> 
Y : (il hoche la tête affirmativement) ah oui (en hochant la tête affirmativement) <P19,L7> 
O : heille là je me suis couché il était minuit à peu près/ <P19,L8> 
Y : (il hoche la tête affirmativement) [ 1 oui <P19,L9> 
O : [ 1 pis je me suis levé à sept heures/ <P19,L10> 
Y : ok <P19,L11> 
O : pis le lendemain soir (en déplaçant sa main horizontalement comme en signe de négation affirmée) [ 1 oublie ça c’étai:t (en hochant la tête négativement) <P19,L12> 
Y : [ 1 (il hoche la tête négativement) <P19,L13> 
Y : <p<crevé [ 1 ben raide>> <P19,L14> 
O : [ 1 zéro pis une barre <P19,L15> 
S : [ 1 heille ça roule sur des [ 2 roulettes <P19,L16> 
Y : [ 2 <pp<{c’est ça;(inaud.)}>> <P19,L17> ils regardent tous à gauche de la caméra) Y : [ 1 <pp<{ça va ben ostie;(inaud.)}>> <P19,L18> 
S : [ 1 ceci est une commandite de Budweiser (en montrant sa bouteille de bière à la caméra) <P19,L19> 1”)  O : euh (.) pour ou contre l’avortement (dit en lisant la feuille ramassée précédemment sur la table) [ 1 (RIRE) <P20,L1> 
Y : [ 1 (RIRE) <P20,L2> 
S : des ostie de [ 1 sujets (inaud.) <P20,L3> 
Y : [ 1 non non c’est ça (dit en riant) (il hoche la tête négativement) oublie ça (dit en riant) (0:01:28.4) <P20,L4> 
O : [ 1 (RIRE) <P20,L5> 
S : regardez cette liste (en montrant à la caméra la feuille prise sur la table) <P20,L6> 
O : (RIRE) <P20,L7> 
S : c’est lui qui l’a [ 1 faite (en pointant Yan du doigt) <P20,L8> 
Y : [ 1 (il pointe Sylvain) c’est (.) [ 2 c’est lui qui l’a écrit (en pointant Sylvain comme pour renvoyer la faute sur lui) <P20,L9> 
S : [ 2m’as vous la lire (.) réchauffement de la planète/ la souveraineté du Québec/ les gaz à effet de serre pour/ ou [ 3 contre l’avortement/ les gras trans/ vaccin de la grippe H1N1/ (.) [ 4 où se cache [ 5Ben Laden/ (.) la circoncision ou circonscription [ 6 et Barack Obama\ (il pince les lèvres comme pour signifier que c’est la fin de la liste) [ 7 c’est sa liste (en regardant la caméra et en pointant Yan) (RIRE) <P20,L10> 
Y : [ 3 (RIRE) <P20,L11> 
O : [ 4 tu t’es pas fait vacciner encore (dit en s’adressant à Yan) <P20,L12> 
Y : [ 5 non (dit en réponse à Oscar) <P20,L13> 
Y : [ 6 (RIRE) <P20,L14> 
O : [ 6 (RIRE) <P20,L15> 
O : [ 7 c’est pas Barack Obama c’est Oussama Ben Laden (en se penchant vers la liste que Sylvain tient) <P20,L16> 
Y : [ 7 (RIRE) <P20,L17> 
S : c’est sa liste (en pointant Yan) <P20,L18> 
Y : (RIRE) suce Alice/ <P21,L1> 
O : AH c’est Barack Obama (en regardant la feuille sur laquelle sont écrits les thèmes à aborder) [ 1 <pp<j’étais sûr>> <P21,L2> 
Y : [ 1 {c’est suce Alice;(inaud.)} <P21,L3> 
S : suce Alice <P21,L4> 
O : [ 1Alice ça devait être sa danseuse [ 2 d’hier ça (0:02:01.4) <P21,L5> 
Y : [ 1 ah non (inaud.) <P21,L6> 
Y : [ 2 ouais <P21,L7> 
S : non <P21,L8> 
Y : toi ça/ (en regardant Oscar) <P21,L9> 
S : [ 1 il y avait pas <p<ostie>> <P21,L10> 
O : [ 1 lui [ 2 là (en pointant le menton vers Sylvain comme pour le désigner) hier ça a l’air qu’il y a une danseuse qui lui demandait pour aller faire un tour dans le [ 3 parking avec <P21,L11> 
Y : [ 2 <p<ah>> en hochant la tête affirmativement) <P21,L12> 
S : [ 3 {hein:;ouin} <P21,L13> 
Y : ah ouin [ 1 elle voulait te donner des cours de: (.) {demain/;(inaud.)} <P21,L14> 
S : [ 1 ouin quand que je suis parti <P21,L15> 
S : elle dit •ouin t’es don- t’es donc ben beau toi° (dit en prenant une petite voix comme pour imiter la voix de la danseuse) <P21,L16> 
Y : voyons toi (en levant le menton comme en signe d’incrédulité) <P21,L17> 
S : •ah: merci (dit en riant) <P21,L18> 
Y : (il lève le menton comme en signe d’incrédulité) <P21,L19> 
S : [ 1 (inaud.)° <P21,L20> 
O : [ 1 •t’as combien[ 2 d’argent dans ton portefeuille/° (dit en riant) <P21,L21> 
Y : [ 2 il y avait-tu ben du monde/ ou <P21,L22> 
S : heille c’était ben plein <P21,L23> 
Y : oui [ 1 <f<ouin c’est ça {exactement c’était tellement euh;(inaud.)}>> <P21,L24> 
O : [ 1 <f<ben hein à Ascot c’est tout le temps ben plein il rentre vingt personnes>> dit en riant) <P22,L1> 
Y : ouin mais c’est pas grave des fois euh <P22,L2> 
S : hum <P22,L3> 
Y : c’est sûr qu’il y a tout le temps du [ 1monde quand tu vas là (en inclinant la tête comme pour exprimer une évidence) <P22,L4> 
S : [ 1 elle dit •tu viens-tu souvent ici° •non\° elle a dit •comment ça° •ah ben on a fait un flat là° [ 2 (il pince les lèvres comme pour exprimer un doute) <P22,L5> 
Y : [ 2 (il lève le menton vers Sylvain comme pour exprimer un doute) <P22,L6> 
S : [ 1 •on est arrêtés ici° <P22,L7> 
Y : [ 1 avez-vous fait un flat pour de vrai dans le fond/ [ 2 non pas vrai (en hochant la tête négativement) (0:02:31.7) <P22,L8> 
S : [ 2 ben non <P22,L9> 
S : on a [ 1 fait un flat pis on est arrêtés ici <P22,L10> 
O : [ 1 {genre (inaud.);Jean-Philippe} [ 2 fait un flat en avant de [ 3Ascot (dit en riant) (RIRE) <P22,L11> 
Y : [ 2 (il hoche la tête affirmativement en souriant et incline la tête vers Oscar comme pour se moquer de ce qu’il est en train de dire) <P22,L12> 
S : [ 3 pis là on: attend la remorque là là pis pour moi elle l’a pas trouvé drôle elle est partie <P22,L13> 
Y : (RIRE) elle voulait savoir comment t’avais d’argent <P22,L14> 
S : <p<ben oui [ 1 ostie>> <P22,L15> 
Y : [ 1 des méchantes mange-piastre <P22,L16> 
S : truie sale <P22,L17> 
O : (PETIT RIRE) <P22,L18> 
S : <p<ouais (.) avant que je te donne de l’argent là>> <P22,L19> 
Y : (il pince les lèvres en hochant la tête négativement comme pour exprimer un doute) <P22,L20> 2”) Y : c’est comme <P23,L1> 
S : il y avait Ti-Moineau hier pis Clark Lachance là-bas <P23,L2> 
O : [ 1Clark Lachance heille <P23,L3> 
Y : [ 1Clark↑ ah eh cibole (en hochant la tête affirmativement) <P23,L4> 
S : (il hoche la tête affirmativement) <P23,L5> 
Y : ça fait un bout ça j’ai pas vu ça <P23,L6> 
S : {ah;(inaud.)} <P23,L7> 
O : c’est sa SŒUR moi (en haussant les sourcils comme en signe d’envie) j’aurais voulu la revoir itou (0:03:00.1) <P23,L8> 
Y : (il hoche la tête affirmativement) <P23,L9> 
S : <all<elle était pas laide>> <P23,L10> 
O : elle a l’âge à: mon [ 1 elle a l’âge à ton frè- <P23,L11> 
Y : [ 1 ben elle était pas laide euh: (en abaissant les commissures de ses lèvres et en inclinant sa tête comme en signe de réticence) <P23,L12> 
S : elle est pas laide sa sœur <P23,L13> 
Y : j’sais pas (.) plus ou moins là (.) moi ça aurait pas été mon genre <P23,L14> 
O : (il hoche la tête négativement) non moi c’est rien que pour lui revoir la [ 1 face là rien que pour dire euh je l’ai pas revue depuis même pas euh fin secondaire/ (en haussant les sourcils comme pour insister sur ses propos) <P23,L15> 
Y : [ 1 (il hoche la tête affirmativement) <P23,L16> 
Y : ouin ouin c’est ça <P23,L17> 
S : les lumières [ 1 fermées [ 2 euh:: <P23,L18> 
O : [ 1 ça fait dix ans là/ <P23,L19> 
Y : [ 2 ah sa sœur plus jeune/ ou: (en tapant la table avec son index comme pour insister sur ses propos) <P23,L20> 
O : plus vieille <P23,L21> 
Y : ah oui plus vieille Catherine/ <P24,L1> 
S : {c’est::;t’sai::s;eh::} [ 1 les lumières fermées là (inaud.) (en levant la main comme pour exprimer son approbation) <P24,L2> 
Y : [ 1 (il hoche la tête affirmativement d’abord en écoutant Sylvain puis en se tournant vers Oscar) <P24,L3> 
O : [ 1 je me souvenais même pas qu’elle avait une [ 2 sœur plus jeune (dit en riant et en s’adressant à Yan) <P24,L4> 
Y : [ 2 ah ouais (en hochant la tête affirmativement) <P24,L5> 
Y : ouin [ 1 plus jeune il en a une plus jeune mais là euh je sais pas qu’est-ce qu’elle a de l’air moi euh le dernier coup je prenais l’autobus heille c’était une petite kid là (en plaçant son bras à la hauteur de ses épaules comme pour montrer la taille d’un enfant) [ 2 regarde (0:03:31.4) <P24,L6> 
S : [ 1 ah ouais <P24,L7> 
O : [ 2 ouin <P24,L8> 
Y : pis là peut-être ben que la petite kid (.) elle est comme ma petite voisine (dit en riant et en pointant son pouce vers l’arrière comme pour désigner la personne dont il parle) <P24,L9> 
O : elle est [ 1 danseuse ostie (dit en riant) <P24,L10> 
Y : [ 1ma voisine je l’ai gardée (en pointant avec son pouce vers l’arrière comme pour désigner la personne dont il parle) pis je checke ça dans le Zénith ostie sur le site de Zénith (en pointant son menton vers l’avant comme pour désigner le site dont il parle) [ 2 elle était Zénith girl [ 3 je sais pas trop (inaud.) (en levant le menton comme pour attirer l’attention sur ce qu’il dit) (.) elle a envoyé ses photos (en donnant un coup de poignet vers l’extérieur comme s’il envoyait quelque chose) genre pis tout/ (.) TAbarnaque (en se reculant précipitamment sur sa chaise comme pour exprimer sa surprise) [ 4 j’irais la garder <P24,L11> 
O : [ 2 elle est là-dedans↑ <P24,L12> 
O : [ 3 ah ouin <P24,L13> 
O : [ 4 c’est qui <P24,L14> 
S : [ 4 c’est qui ça <P24,L15> 
Y : Milène Charland/ (.) ah oui j’irais la j’irais le [ 1 faire du baby-sitting heille regarde (RIRE) <P24,L16> 
S : [ 1 (RIRE) <P25,L1> 
O : ah oui elle est rendue à dix-huit/ <P25,L2> 
Y : ah oui elle doit là elle doit avoir dix-neuf dix-neuf vingt/ <P25,L3> 
O : c’est vrai/ {que:;que euh} (en fronçant les sourcils comme s’il prenait conscience de quelque chose) [ 1 on approche du trente en ostie (0:03:59.7) <P25,L4> 
Y : [ 1 crif ben crif pareil ouin c’est ça là (en hochant la tête affirmativement) <P25,L5> 
S : {pas;(inaud.)} [ 1 gang de vieux schnoks <P25,L6> 
Y : [ 1 c’est rendu heille je l’ai gardée pis là euh: tu la revois sur internet (RIRE) <p<eh crisse>> dit en riant) (.) ça donne un choc <pp<{quand tu fais;quand ça fait}>> il abaisse le coin de sa bouche comme pour exprimer son incrédulité comme s’il était encore sous le choc) <P25,L7> 
S : [ 1 <p<ouai:s>> <P25,L8> 
O : [ 1 rien que moi je checke les flos à ma sœur pis câlif il y en a un qui est rendu à sept ans [ 2 tu te dis •câlif il est donc ben (en fronçant les sourcils comme en signe d’incrédulité) il est donc ben rendu vieux lui [ 3 crisse° <P25,L9> 
Y : [ 2 (il hoche la tête affirmativement) <P25,L10> 
Y : [ 3 ben là c’est ça là il commence à comprendre [ 4 là ben des affaires ostie (en haussant les sourcils comme pour insister sur ses propos) <P25,L11> 
O : [ 4 ah ouais <P25,L12> 
O : il a de la jasette un peu <P25,L13> 
Y : c’est pas lui que t’es pa- son parrain/ <P25,L14> 
O : non: (en haussant les sourcils comme pour insister sur ses propos) moi je suis le plus jeune (.) l’autre il a deux ans fait que (dit en riant) (RIRE) <P25,L15> 
Y : ah <P25,L16> 
O : j’ai encore le temps de lui [ 1montrer à faire des niaiseries <P25,L17> 
Y : [ 1 (il hoche la tête affirmativement) <P25,L18> 
Y : <p<j’en doute pas>> 0:04:28.7) <P25,L19> 
O : <p<c’est lui la [ 1 brute>> <P25,L20> 
S : [ 1 fait un bout j’ai pas été faire le traîneau <P26,L1> 
O : <p<la brute>> il a deux ans pis c’est lui qui décide <P26,L2> 
Y : (il hausse les sourcils comme pour signifier son accord) <P26,L3> 
O : (RIRE) il a pas peur heille l’autre coup (RIRE) le plus vieux il avait une dent (en touchant une de ses dents) qui branlait en avant (il hoche la tête négativement en riant) l’autre un coup de poing (en donnant un coup de tête vers la gauche comme pour représenter le coup dont il parle) sur la gueule <P26,L4> 
Y : (il lève le menton comme pour exprimer son incrédulité) <P26,L5> 
O : toc (en bougeant son doigt de sa bouche à la table comme pour représenter la dent qui tombe) [ 1 la dent est tombée à terre (dit en riant) <P26,L6> 
Y : [ 1 voyons ostie <P26,L7> 
Y : (il hoche la tête négativement) <P26,L8> 
O : le problème est réglé <P26,L9> 
Y : (il hoche la tête négativement) <P26,L10> 
S : HEILLE je me suis acheté une brosse à dents ostie (en tapant du poing sur la table comme pour insister sur ses propos) <P26,L11> 
O : tu te [ 1 brosses les dents toi/ <P26,L12> 
Y : [ 1 il commençait à être temps (dit en riant) <P26,L13> 
S : [ 1 e- elle a des batteries dedans (en pointant devant lui comme pour représenter l’intérieur de la brosse à dents) ben je me suis fait voler la mienne tabarnaque par pour moi la femme de chambre [ 2 ostie (0:05:04.2) <P26,L14> 
Y : [ 2 ah oui tu as un petit piton (en pressant son pouce sur son index comme pour mimer qu’il actionne la commande de la brosse à dents) pis là [ 3 ça vibre/ ouin (en hochant la tête affirmativement) c’est ça {ça fait un bout;(inaud.)} <P26,L15> 
S : [ 3 (RIRE) (en hochant la tête affirmativement) [ 4 (RIRE) <P26,L16> 
O : [ 4 (RIRE) <P26,L17> 
Y : pis t’sai:s c’est pas fait pour se mettre euh: ailleurs là (en rapprochant sa main droite de son postérieur comme pour montrer où on pourrait mettre la brosse à dents) <P26,L18> 
S : non <P26,L19> 
O : c’est pas [ 1 fait pour <P27,L1> 
S : [ 1 ben non mais euh quand je suis allé aux je me suis fait volé ma brosse à dents aux États ostie <P27,L2> 
Y : c’est du monde pauvre là-bas là <P27,L3> 
S : câ- heille vraiment là sérieux là heille (inaud.) je me suis brossé les dents le matin (.) arrive le soir (en ouvrant ses paumes vers le haut comme pour représenter le vide) (.) plus de brosse à dents (en écartant les mains comme pour exprimer son incompréhension) <P27,L4> 
Y : (il hoche la tête négativement) <P27,L5> 
S : cherche [ 1 dans la chambre cherche dans les ba:- <P27,L6> 
O : [ 1 il te restais-tu de l’argent dans la chambre/ <P27,L7> 
S : {je sais pas;(inaud.)} moi elle était dans ma valise mon argent (.) elle était pas sur la table (.) heille j’ai perdu ma brosse à dents [ 1 pis mon (0:05:30.4) <P27,L8> 
Y : [ 1 dans la CHAMBRE [ 2 d’hôtel/ <P27,L9> 
S : [ 2 (il hoche la tête affirmativement) mon tube de pâte à dents\ <P27,L10> 
O : mon [ 1 frère il y a une année [ 2 il avai- <P27,L11> 
Y : [ 1 hum <P27,L12> 
Y : [ 2 pour moi ils s’en ont servi pour cleaner le bol (en agitant le bras comme lorsqu’on nettoie quelque chose) pis ils ont dit •fuck (en déplaçant sa main rapidement vers le côté comme s’il jetait quelque chose) on va jeter ça° <P27,L13> 
S : hei:lle était NEUve <P27,L14> 
O : l’année qu’il avait été étudiant à:: (.) c’est à Vancouver/ ou Victoria/ (.) l’été/ (.) [ 1 je sais pas trop/ <P27,L15> 
Y : [ 1 <all<il a été à l’école là/ ton f->> <P27,L16> 
